station_id,station,lines,local_authority,fare_zone,opened_on,annual_usage,area_served,url
211,South Ruislip,C,Hillingdon,5,23 Nov 1948,1.41,South Ruislip,https://www.google.com/maps?q=South+Ruislip+Underground+station
212,South Wimbledon,N,Merton,34,13 Sep 1926,3.3,Wimbledon,https://www.google.com/maps?q=South+Wimbledon+Underground+station
213,South Woodford,C,Redbridge,4,14 Dec 1947,3.79,South Woodford,https://www.google.com/maps?q=South+Woodford+Underground+station
214,Southfields,D,Wandsworth,3,3 Jun 1889,4.45,Southfields,https://www.google.com/maps?q=Southfields+Underground+station
215,Southgate,P,Enfield,4,13 Mar 1933,3.78,Southgate,https://www.google.com/maps?q=Southgate+Underground+station
216,Southwark,J,Southwark,1,24 Sep 1999,8.92,Bankside,https://www.google.com/maps?q=Southwark+Underground+station
217,Stamford Brook,D,Hammersmith and Fulham,2,1 Feb 1912,2.11,Chiswick,https://www.google.com/maps?q=Stamford+Brook+Underground+station
218,Stanmore,J,Harrow,5,10 Dec 1932,2.9,Stanmore,https://www.google.com/maps?q=Stanmore+Underground+station
219,Stepney Green,DH,Tower Hamlets,2,23 Jun 1902,4.69,Stepney,https://www.google.com/maps?q=Stepney+Green+Underground+station
220,Stockwell,NV,Lambeth,2,18 Dec 1890,7.46,Stockwell,https://www.google.com/maps?q=Stockwell+Underground+station
221,Stonebridge Park,B,Brent,3,16 Apr 1917,2.2,Tokyngton,https://www.google.com/maps?q=Stonebridge+Park+Underground+station
222,Stratford,CJ,Newham,23,4 Dec 1946,47.88,Stratford,https://www.google.com/maps?q=Stratford+Underground+station
223,Sudbury Hill,P,Ealing Harrow,4,28 Jun 1903,1.51,Sudbury,https://www.google.com/maps?q=Sudbury+Hill+Underground+station
224,Sudbury Town,P,Brent Ealing,4,28 Jun 1903,1.39,Sudbury,https://www.google.com/maps?q=Sudbury+Town+Underground+station
225,Swiss Cottage,J,Camden,2,20 Nov 1939,4.94,Swiss Cottage,https://www.google.com/maps?q=Swiss+Cottage+Underground+station
226,Temple,OD,City of Westminster,1,30 May 1870,6.37,Temple,https://www.google.com/maps?q=Temple+Underground+station
227,Theydon Bois,C,Epping Forest,6,25 Sep 1949,0.68,Theydon Bois,https://www.google.com/maps?q=Theydon+Bois+Underground+station
228,Tooting Bec,N,Wandsworth,3,13 Sep 1926,5.94,Tooting,https://www.google.com/maps?q=Tooting+Bec+Underground+station
229,Tooting Broadway,N,Wandsworth,3,13 Sep 1926,11.62,Tooting,https://www.google.com/maps?q=Tooting+Broadway+Underground+station
230,Tottenham Court Road,CN,Camden,1,30 Jul 1900,48.95,St Giles,https://www.google.com/maps?q=Tottenham+Court+Road+Underground+station
231,Tottenham Hale,V,Haringey,3,1 Sep 1968,12.49,Tottenham Hale,https://www.google.com/maps?q=Tottenham+Hale+Underground+station
232,Totteridge & Whetstone,N,Barnet,4,14 Apr 1940,1.81,Whetstone,https://www.google.com/maps?q=Totteridge+&+Whetstone+Underground+station
233,Tower Hill,OD,Tower Hamlets,1,25 Sep 1882,15.4,Tower Hill,https://www.google.com/maps?q=Tower+Hill+Underground+station
234,Tufnell Park,N,Islington,2,22 Jun 1907,2.97,Tufnell Park,https://www.google.com/maps?q=Tufnell+Park+Underground+station
235,Turnham Green,DP,Hounslow,23,1 Jun 1877,4.68,Chiswick,https://www.google.com/maps?q=Turnham+Green+Underground+station
236,Turnpike Lane,P,Haringey,3,19 Sep 1932,7.89,Noel Park,https://www.google.com/maps?q=Turnpike+Lane+Underground+station
237,Upminster,D,Havering,6,2 Jun 1902,3.77,Upminster,https://www.google.com/maps?q=Upminster+Underground+station
238,Upminster Bridge,D,Havering,6,17 Dec 1934,0.74,Upminster Bridge,https://www.google.com/maps?q=Upminster+Bridge+Underground+station
239,Upney,D,Barking and Dagenham,4,12 Sep 1932,1.94,Barking,https://www.google.com/maps?q=Upney+Underground+station
240,Upton Park,DH,Newham,3,2 Jun 1902,7.69,Upton Park,https://www.google.com/maps?q=Upton+Park+Underground+station
241,Uxbridge,MP,Hillingdon,6,4 Jul 1904,5.76,Uxbridge,https://www.google.com/maps?q=Uxbridge+Underground+station
242,Vauxhall,V,Lambeth,12,23 Jul 1971,20.88,Vauxhall,https://www.google.com/maps?q=Vauxhall+Underground+station
243,Victoria,ODV,City of Westminster,1,24 Dec 1868,56.43,Belgravia,https://www.google.com/maps?q=Victoria+Underground+station
244,Walthamstow Central,V,Waltham Forest,3,1 Sep 1968,12.81,Walthamstow,https://www.google.com/maps?q=Walthamstow+Central+Underground+station
245,Wanstead,C,Redbridge,4,14 Dec 1947,1.88,Wanstead,https://www.google.com/maps?q=Wanstead+Underground+station
246,Warren Street,NV,Camden,1,22 Jun 1907,13.01,Fitzrovia,https://www.google.com/maps?q=Warren+Street+Underground+station
247,Warwick Avenue,B,City of Westminster,2,31 Jan 1915,2.87,Little Venice,https://www.google.com/maps?q=Warwick+Avenue+Underground+station
248,Waterloo,BJNW,Lambeth,1,10 Mar 1906,68.72,Waterloo,https://www.google.com/maps?q=Waterloo+Underground+station
249,Watford,M,Watford,7,2 Nov 1925,1.68,Cassiobury,https://www.google.com/maps?q=Watford+Underground+station
250,Wembley Central,B,Brent,4,16 Apr 1917,4.37,Wembley,https://www.google.com/maps?q=Wembley+Central+Underground+station
251,Wembley Park,JM,Brent,4,12 May 1894,15.0,Wembley Park,https://www.google.com/maps?q=Wembley+Park+Underground+station
252,West Acton,C,Ealing,3,5 Nov 1923,1.1,Acton,https://www.google.com/maps?q=West+Acton+Underground+station
253,West Brompton,D,Kensington and Chelsea,2,12 Apr 1869,4.42,West Brompton,https://www.google.com/maps?q=West+Brompton+Underground+station
254,West Finchley,N,Barnet,4,14 Apr 1940,1.2,Finchley,https://www.google.com/maps?q=West+Finchley+Underground+station
255,West Ham,DHJ,Newham,23,2 Jun 1902,4.51,West Ham,https://www.google.com/maps?q=West+Ham+Underground+station
256,West Hampstead,J,Camden,2,30 Jun 1879,7.1,West Hampstead,https://www.google.com/maps?q=West+Hampstead+Underground+station
257,West Harrow,M,Harrow,5,17 Nov 1913,0.94,Harrow,https://www.google.com/maps?q=West+Harrow+Underground+station
258,West Kensington,D,Hammersmith and Fulham,2,9 Sep 1874,3.61,West Kensington,https://www.google.com/maps?q=West+Kensington+Underground+station
259,West Ruislip,C,Hillingdon,6,21 Nov 1948,1.14,Ruislip,https://www.google.com/maps?q=West+Ruislip+Underground+station
260,Westbourne Park,OH,City of Westminster,2,1 Feb 1866,3.21,Notting Hill,https://www.google.com/maps?q=Westbourne+Park+Underground+station
261,Westminster,ODJ,City of Westminster,1,24 Dec 1868,17.98,Westminster,https://www.google.com/maps?q=Westminster+Underground+station
262,White City,C,Hammersmith and Fulham,2,23 Nov 1947,7.39,White City,https://www.google.com/maps?q=White+City+Underground+station
263,Whitechapel,DH,Tower Hamlets,2,1 Oct 1884,14.27,Whitechapel,https://www.google.com/maps?q=Whitechapel+Underground+station
264,Willesden Green,J,Brent,23,24 Nov 1879,5.35,Willesden,https://www.google.com/maps?q=Willesden+Green+Underground+station
265,Willesden Junction,B,Brent,23,10 May 1915,4.41,Harlesden,https://www.google.com/maps?q=Willesden+Junction+Underground+station
266,Wimbledon,D,Merton,3,3 Jun 1889,11.52,Wimbledon,https://www.google.com/maps?q=Wimbledon+Underground+station
267,Wimbledon Park,D,Merton,3,3 Jun 1889,1.7,Wimbledon,https://www.google.com/maps?q=Wimbledon+Park+Underground+station
268,Wood Green,P,Haringey,3,19 Sep 1932,9.12,Wood Green,https://www.google.com/maps?q=Wood+Green+Underground+station
269,Wood Lane,OH,Hammersmith and Fulham,2,12 Oct 2008,4.13,Shepherd's Bush,https://www.google.com/maps?q=Wood+Lane+Underground+station
270,Woodford,C,Redbridge,4,14 Dec 1947,4.24,Woodford,https://www.google.com/maps?q=Woodford+Underground+station
271,Woodside Park,N,Barnet,4,12 Apr 1940,3.47,Woodside Park,https://www.google.com/maps?q=Woodside+Park+Underground+station
