station_id,station,lines,local_authority,fare_zone,opened_on,annual_usage,area_served,url
35,Camden Town,N,Camden,2,22 Jun 1907,17.34,Camden Town,https://www.google.com/maps?q=Camden+Town+Underground+station
36,Canada Water,J,Southwark,2,17 Sep 1999,10.57,Canada Water,https://www.google.com/maps?q=Canada+Water+Underground+station
37,Canary Wharf,J,Tower Hamlets,2,17 Sep 1999,30.68,Canary Wharf,https://www.google.com/maps?q=Canary+Wharf+Underground+station
38,Canning Town,J,Newham,23,14 May 1999,11.59,Canning Town,https://www.google.com/maps?q=Canning+Town+Underground+station
39,Cannon Street,OD,City of London,1,6 Oct 1884,3.79,City of London,https://www.google.com/maps?q=Cannon+Street+Underground+station
40,Canons Park,J,Harrow,5,10 Dec 1932,2.06,Stanmore,https://www.google.com/maps?q=Canons+Park+Underground+station
41,Chalfont & Latimer,M,Buckinghamshire,8,8 Jul 1889,1.3,Little Chalfont,https://www.google.com/maps?q=Chalfont+&+Latimer+Underground+station
42,Chalk Farm,N,Camden,2,22 Jun 1907,4.0,Chalk Farm,https://www.google.com/maps?q=Chalk+Farm+Underground+station
43,Chancery Lane,C,City of LondonCamden,1,30 Jul 1900,8.53,Holborn,https://www.google.com/maps?q=Chancery+Lane+Underground+station
44,Charing Cross,BN,City of Westminster,1,10 Mar 1906,13.66,Charing Cross,https://www.google.com/maps?q=Charing+Cross+Underground+station
45,Chesham,M,Buckinghamshire,9,8 Jul 1889,0.87,Chesham,https://www.google.com/maps?q=Chesham+Underground+station
137,Leyton,C,Waltham Forest,3,5 May 1947,8.36,Leyton,https://www.google.com/maps?q=Leyton+Underground+station
46,Chigwell,C,Epping Forest,4,21 Nov 1948,0.31,Chigwell,https://www.google.com/maps?q=Chigwell+Underground+station
47,Chiswick Park,D,Ealing,3,1 Jul 1879,1.9,Chiswick,https://www.google.com/maps?q=Chiswick+Park+Underground+station
48,Chorleywood,M,Three Rivers,7,8 Jul 1889,1.34,Chorleywood,https://www.google.com/maps?q=Chorleywood+Underground+station
49,Clapham Common,N,Lambeth,2,3 Jun 1900,7.71,Clapham,https://www.google.com/maps?q=Clapham+Common+Underground+station
50,Clapham North,N,Lambeth,2,3 Jun 1900,5.22,Clapham,https://www.google.com/maps?q=Clapham+North+Underground+station
51,Clapham South,N,Wandsworth,23,13 Sep 1926,6.13,Clapham,https://www.google.com/maps?q=Clapham+South+Underground+station
52,Cockfosters,P,Enfield,5,31 Jul 1933,1.41,Cockfosters,https://www.google.com/maps?q=Cockfosters+Underground+station
53,Colindale,N,Barnet,4,18 Aug 1924,5.95,Colindale,https://www.google.com/maps?q=Colindale+Underground+station
54,Colliers Wood,N,Merton,3,13 Sep 1926,4.99,Colliers Wood,https://www.google.com/maps?q=Colliers+Wood+Underground+station
55,Covent Garden,P,City of Westminster,1,11 Apr 1907,12.99,Covent Garden,https://www.google.com/maps?q=Covent+Garden+Underground+station
56,Croxley,M,Three Rivers,7,2 Nov 1925,0.81,Croxley Green,https://www.google.com/maps?q=Croxley+Underground+station
57,Dagenham East,D,Barking and Dagenham,5,2 Jun 1902,2.33,Dagenham,https://www.google.com/maps?q=Dagenham+East+Underground+station
58,Dagenham Heathway,D,Barking and Dagenham,5,12 Sep 1932,4.45,Dagenham,https://www.google.com/maps?q=Dagenham+Heathway+Underground+station
59,Debden,C,Epping Forest,6,25 Sep 1949,1.77,Debden,https://www.google.com/maps?q=Debden+Underground+station
60,Dollis Hill,J,Brent,3,1 Oct 1909,2.93,Dollis Hill,https://www.google.com/maps?q=Dollis+Hill+Underground+station
61,Ealing Broadway,CD,Ealing,3,1 Jul 1879,13.43,Ealing,https://www.google.com/maps?q=Ealing+Broadway+Underground+station
62,Ealing Common,DP,Ealing,3,1 Jul 1879,2.02,Ealing,https://www.google.com/maps?q=Ealing+Common+Underground+station
63,Earl's Court,DP,Kensington and Chelsea,12,30 Oct 1871,15.18,Earl's Court,https://www.google.com/maps?q=Earl's+Court+Underground+station
64,East Acton,C,Hammersmith and Fulham,2,3 Aug 1920,2.71,Acton,https://www.google.com/maps?q=East+Acton+Underground+station
65,East Finchley,N,Barnet,3,3 Jul 1939,4.95,Finchley,https://www.google.com/maps?q=East+Finchley+Underground+station
66,East Ham,DH,Newham,34,2 Jun 1902,9.89,East Ham,https://www.google.com/maps?q=East+Ham+Underground+station
67,East Putney,D,Wandsworth,23,3 Jun 1889,5.02,Putney,https://www.google.com/maps?q=East+Putney+Underground+station
68,Eastcote,MP,Hillingdon,5,26 May 1906,1.99,Eastcote,https://www.google.com/maps?q=Eastcote+Underground+station
69,Edgware,N,Barnet,5,18 Aug 1924,3.93,Edgware,https://www.google.com/maps?q=Edgware+Underground+station
70,Edgware Road,B,City of Westminster,1,15 Jun 1907,3.51,Paddington,https://www.google.com/maps?q=Edgware+Road+Underground+station
71,Edgware Road,ODH,City of Westminster,1,1 Oct 1863,5.07,Paddington,https://www.google.com/maps?q=Edgware+Road+Underground+station
72,Elephant & Castle,BN,Southwark,12,18 Dec 1890,13.3,Elephant & Castle,https://www.google.com/maps?q=Elephant+&+Castle+Underground+station
73,Elm Park,D,Havering,6,13 May 1935,2.23,Elm Park,https://www.google.com/maps?q=Elm+Park+Underground+station
74,Embankment,BODN,City of Westminster,1,30 May 1870,15.13,Charing Cross,https://www.google.com/maps?q=Embankment+Underground+station
75,Epping,C,Epping Forest,6,25 Sep 1949,3.02,Epping,https://www.google.com/maps?q=Epping+Underground+station
76,Euston,NV,Camden,1,22 Jun 1907,27.69,Camden,https://www.google.com/maps?q=Euston+Underground+station
77,Euston Square,OHM,Camden,1,10 Jan 1863,10.33,Camden,https://www.google.com/maps?q=Euston+Square+Underground+station
78,Fairlop,C,Redbridge,4,31 May 1948,0.87,Fairlop,https://www.google.com/maps?q=Fairlop+Underground+station
79,Farringdon,OHM,Islington,1,10 Jan 1863,30.07,Clerkenwell,https://www.google.com/maps?q=Farringdon+Underground+station
80,Finchley Central,N,Barnet,4,14 Apr 1940,6.0,Finchley,https://www.google.com/maps?q=Finchley+Central+Underground+station
81,Finchley Road,JM,Camden,2,30 Jun 1879,6.68,West Hampstead,https://www.google.com/maps?q=Finchley+Road+Underground+station
82,Finsbury Park,PV,Islington,2,15 Dec 1906,23.4,Finsbury Park,https://www.google.com/maps?q=Finsbury+Park+Underground+station
83,Fulham Broadway,D,Hammersmith and Fulham,2,1 Mar 1880,6.52,Walham Green,https://www.google.com/maps?q=Fulham+Broadway+Underground+station
84,Gants Hill,C,Redbridge,4,14 Dec 1947,4.75,Gants Hill,https://www.google.com/maps?q=Gants+Hill+Underground+station
85,Gloucester Road,ODP,Kensington and Chelsea,1,1 Oct 1868,10.49,South Kensington,https://www.google.com/maps?q=Gloucester+Road+Underground+station
86,Golders Green,N,Barnet,3,22 Jun 1907,5.79,Golders Green,https://www.google.com/maps?q=Golders+Green+Underground+station
87,Goldhawk Road,OH,Hammersmith and Fulham,2,1 Apr 1914,1.68,Shepherd's Bush,https://www.google.com/maps?q=Goldhawk+Road+Underground+station
88,Goodge Street,N,Camden,1,22 Jun 1907,5.15,Fitzrovia,https://www.google.com/maps?q=Goodge+Street+Underground+station
89,Grange Hill,C,Epping Forest,4,21 Nov 1948,0.37,Chigwell,https://www.google.com/maps?q=Grange+Hill+Underground+station
90,Great Portland Street,OHM,City of Westminster,1,10 Jan 1863,5.16,Fitzrovia,https://www.google.com/maps?q=Great+Portland+Street+Underground+station
91,Greenford,C,Ealing,4,30 Jun 1947,3.29,Greenford,https://www.google.com/maps?q=Greenford+Underground+station
92,Green Park,JPV,City of Westminster,1,15 Dec 1906,28.42,Westminster,https://www.google.com/maps?q=Green+Park+Underground+station
93,Gunnersbury,D,Hounslow,3,1 Jun 1877,3.87,Gunnersbury,https://www.google.com/maps?q=Gunnersbury+Underground+station
94,Hainault,C,Redbridge,4,31 May 1948,2.8,Hainault,https://www.google.com/maps?q=Hainault+Underground+station
95,Hammersmith,DP,Hammersmith and Fulham,2,9 Sep 1874,20.06,Hammersmith,https://www.google.com/maps?q=Hammersmith+Underground+station
96,Hammersmith,OH,Hammersmith and Fulham,2,13 Jun 1864,8.04,Hammersmith,https://www.google.com/maps?q=Hammersmith+Underground+station
97,Hampstead,N,Camden,23,22 Jun 1907,3.61,Hampstead,https://www.google.com/maps?q=Hampstead+Underground+station
98,Hanger Lane,C,Ealing,3,30 Jun 1947,2.58,Hanger Hill,https://www.google.com/maps?q=Hanger+Lane+Underground+station
99,Harlesden,B,Brent,3,16 Apr 1917,2.33,Harlesden,https://www.google.com/maps?q=Harlesden+Underground+station
100,Harrow & Wealdstone,B,Harrow,5,16 Apr 1917,3.23,Wealdstone,https://www.google.com/maps?q=Harrow+&+Wealdstone+Underground+station
101,Harrow-on-the-Hill,M,Harrow,5,2 Aug 1880,8.22,Harrow,https://www.google.com/maps?q=Harrow-on-the-Hill+Underground+station
102,Hatton Cross,P,Hillingdon,56,19 Jul 1975,2.63,Hatton,https://www.google.com/maps?q=Hatton+Cross+Underground+station
103,Heathrow Terminals 2 & 3,P,Hillingdon,6,16 Dec 1977,5.73,Heathrow Airport,https://www.google.com/maps?q=Heathrow+Terminals+2+&+3+Underground+station
104,Heathrow Terminal 4,P,Hillingdon,6,12 Apr 1986,1.23,Heathrow Airport,https://www.google.com/maps?q=Heathrow+Terminal+4+Underground+station
105,Heathrow Terminal 5,P,Hillingdon,6,27 Mar 2008,3.63,Heathrow Airport,https://www.google.com/maps?q=Heathrow+Terminal+5+Underground+station
